"";"Group";"Subj";"Day";"AxisMM";"z";"Perc";"N";"Inter";"BF";"InterBF";"logBF";"ecdfr"
"36";"Context A";"CMG161";"Session 3";"C/G";2;0,333333333333333;6;"Context A.Session 3";0,344969142857143;"Contray Anecdotal/Weak";-1,06430030694465;0,0714285714285714
"37";"Context A";"CMG162";"Session 3";"C/G";5;0,833333333333333;6;"Context A.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,785714285714286
"38";"Context A";"CMG169";"Session 3";"C/G";2;0,4;5;"Context A.Session 3";0,45664;"Contray Anecdotal/Weak";-0,783859944693665;0,142857142857143
"39";"Context A";"HG1";"Session 3";"C/G";4;1;4;"Context A.Session 3";4,47392;"Moderate/Positive";1,49826498181732;0,857142857142857
"40";"Context A";"JJ9";"Session 3";"C/G";5;0,833333333333333;6;"Context A.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,785714285714286
"41";"Context A";"K1";"Session 3";"C/G";5;0,833333333333333;6;"Context A.Session 3";3,00116419047619;"Moderate/Positive";1,09900027688301;0,785714285714286
"42";"Context A";"MG1";"Session 3";"C/G";6;1;6;"Context A.Session 3";10,7539291428571;"Strong/Positive";2,37527118945534;1
"43";"Context B";"AK42";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"44";"Context B";"AK74";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"45";"Context B";"CMG087";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"46";"Context B";"CMG089";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"47";"Context B";"CMG129";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"48";"Context B";"CMG154";"Session 1";"C/G";0;0;1;"Context B.Session 1";0,6;"Contray Anecdotal/Weak";-0,51082562376599;0,142857142857143
"49";"Context B";"CMG159";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"50";"Context B";"CMG161";"Session 1";"C/G";1;0,5;2;"Context B.Session 1";0,786666666666667;"Contray Anecdotal/Weak";-0,239950669630591;0,357142857142857
"51";"Context B";"CMG162";"Session 1";"C/G";1;0,5;2;"Context B.Session 1";0,786666666666667;"Contray Anecdotal/Weak";-0,239950669630591;0,357142857142857
"52";"Context B";"CMG169";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"53";"Context B";"HG1";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"54";"Context B";"JJ9";"Session 1";"C/G";0;0;2;"Context B.Session 1";0,413333333333334;"Contray Anecdotal/Weak";-0,883500909051164;0,0714285714285714
"55";"Context B";"K1";"Session 1";"C/G";1;0,5;2;"Context B.Session 1";0,786666666666667;"Contray Anecdotal/Weak";-0,239950669630591;0,357142857142857
"56";"Context B";"MG1";"Session 1";"C/G";2;1;2;"Context B.Session 1";2,01333333333333;"Anecdotal/Weak";0,699791723278614;1
"57";"Context B";"AK42";"Session 2";"C/G";3;0,5;6;"Context B.Session 2";0,568310857142857;"Contray Anecdotal/Weak";-0,565086726263879;0,0714285714285714
"58";"Context B";"AK74";"Session 2";"C/G";5;0,833333333333333;6;"Context B.Session 2";3,00116419047619;"Moderate/Positive";1,09900027688301;0,928571428571429
"59";"Context B";"CMG087";"Session 2";"C/G";3;0,75;4;"Context B.Session 2";1,46208;"Anecdotal/Weak";0,37986007939277;0,5
"60";"Context B";"CMG089";"Session 2";"C/G";4;0,8;5;"Context B.Session 2";2,07029333333333;"Anecdotal/Weak";0,727690304162116;0,571428571428571
"61";"Context B";"CMG129";"Session 2";"C/G";3;0,75;4;"Context B.Session 2";1,46208;"Anecdotal/Weak";0,37986007939277;0,5
"62";"Context B";"CMG154";"Session 2";"C/G";4;1;4;"Context B.Session 2";4,47392;"Moderate/Positive";1,49826498181732;1
