"";"Group";"Subj";"Day";"AxisMM";"z";"Perc";"N";"Inter";"BF";"InterBF";"logBF";"ecdfr"
"1";"Context A";"AK42";"Session 1";"C/G";0;0;2;"Context A.Session 1";0,383703703703704;"Contray Anecdotal/Weak";-0,957884629172992;0,285714285714286
"2";"Context A";"AK74";"Session 1";"C/G";0;0;2;"Context A.Session 1";0,383703703703704;"Contray Anecdotal/Weak";-0,957884629172992;0,285714285714286
"3";"Context A";"CMG087";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"4";"Context A";"CMG089";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"5";"Context A";"CMG129";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"6";"Context A";"CMG154";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"7";"Context A";"CMG159";"Session 1";"C/G";0;0;2;"Context A.Session 1";0,383703703703704;"Contray Anecdotal/Weak";-0,957884629172992;0,285714285714286
"8";"Context A";"CMG161";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"9";"Context A";"CMG162";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"10";"Context A";"CMG169";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"11";"Context A";"HG1";"Session 1";"C/G";2;1;2;"Context A.Session 1";5,85333333333333;"Moderate/Positive";1,76701129953886;1
"12";"Context A";"JJ9";"Session 1";"C/G";0;0;2;"Context A.Session 1";0,383703703703704;"Contray Anecdotal/Weak";-0,957884629172992;0,285714285714286
"13";"Context A";"K1";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"14";"Context A";"MG1";"Session 1";"C/G";1;0,5;2;"Context A.Session 1";1,11555555555556;"Anecdotal/Weak";0,109352536927364;0,928571428571429
"15";"Context A";"AK42";"Session 2";"C/G";3;0,5;6;"Context A.Session 2";1,54490277248677;"Anecdotal/Weak";0,434960977940233;0,642857142857143
"16";"Context A";"AK74";"Session 2";"C/G";2;0,333333333333333;6;"Context A.Session 2";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,357142857142857
"17";"Context A";"CMG087";"Session 2";"C/G";2;0,5;4;"Context A.Session 2";1,29520592592593;"Anecdotal/Weak";0,258669698668788;0,571428571428571
"18";"Context A";"CMG089";"Session 2";"C/G";4;0,666666666666667;6;"Context A.Session 2";6,41109908994709;"Moderate/Positive";1,8580307211245;1
"19";"Context A";"CMG129";"Session 2";"C/G";2;0,5;4;"Context A.Session 2";1,29520592592593;"Anecdotal/Weak";0,258669698668788;0,571428571428571
"20";"Context A";"CMG154";"Session 2";"C/G";2;0,666666666666667;3;"Context A.Session 2";2,45311111111111;"Anecdotal/Weak";0,89735706025994;0,785714285714286
"21";"Context A";"CMG159";"Session 2";"C/G";3;0,6;5;"Context A.Session 2";2,76145185185185;"Anecdotal/Weak";1,01575657470171;0,857142857142857
"22";"Context A";"CMG161";"Session 2";"C/G";1;0,25;4;"Context A.Session 2";0,461202962962963;"Contray Anecdotal/Weak";-0,773917066143509;0,0714285714285714
"23";"Context A";"CMG162";"Session 2";"C/G";2;0,333333333333333;6;"Context A.Session 2";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,357142857142857
"24";"Context A";"CMG169";"Session 2";"C/G";2;0,666666666666667;3;"Context A.Session 2";2,45311111111111;"Anecdotal/Weak";0,89735706025994;0,785714285714286
"25";"Context A";"HG1";"Session 2";"C/G";1;0,333333333333333;3;"Context A.Session 2";0,669703703703704;"Contray Anecdotal/Weak";-0,400919897689154;0,428571428571429
"26";"Context A";"JJ9";"Session 2";"C/G";2;0,333333333333333;6;"Context A.Session 2";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,357142857142857
"27";"Context A";"K1";"Session 2";"C/G";2;0,333333333333333;6;"Context A.Session 2";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,357142857142857
"28";"Context A";"MG1";"Session 2";"C/G";4;0,666666666666667;6;"Context A.Session 2";6,41109908994709;"Moderate/Positive";1,8580307211245;1
"29";"Context A";"AK42";"Session 3";"C/G";2;0,333333333333333;6;"Context A.Session 3";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,5
"30";"Context A";"AK74";"Session 3";"C/G";3;0,5;6;"Context A.Session 3";1,54490277248677;"Anecdotal/Weak";0,434960977940233;0,785714285714286
"31";"Context A";"CMG087";"Session 3";"C/G";2;0,333333333333333;6;"Context A.Session 3";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,5
"32";"Context A";"CMG089";"Session 3";"C/G";1;0,2;5;"Context A.Session 3";0,346118189300412;"Contray Anecdotal/Weak";-1,06097497467872;0,214285714285714
"33";"Context A";"CMG129";"Session 3";"C/G";2;0,333333333333333;6;"Context A.Session 3";0,560308787771899;"Contray Anecdotal/Weak";-0,57926724048624;0,5
"34";"Context A";"CMG154";"Session 3";"C/G";0;0;4;"Context A.Session 3";0,23075950617284;"Contray Moderate/Positive";-1,46637920959903;0,0714285714285714
