"";"Subject";"Context";"Day";"CellType";"BMROrder";"bmr";"N";"Ntt";"Perc";"animal";"trialA";"trialB";"contextA";"contextB";"isCoherent";"rot1";"rot2";"rot3";"rot4"
"32";"CMG129_CA1_TA1_TB2";"across";"3";"FS";"C_3";"4";2;7;0,285714285714286;"CMG129_CA1";1;2;1;2;0;0,286;0,286;0,286;0,143
"33";"CMG129_CA1_TA1_TB3";"within";"3";"FI";"C_1";"1";36;121;0,297520661157025;"CMG129_CA1";1;3;1;1;0;0,298;0,281;0,215;0,207
"34";"CMG129_CA1_TA1_TB3";"within";"3";"FI";"C_3";"2";26;121;0,214876033057851;"CMG129_CA1";1;3;1;1;0;0,298;0,281;0,215;0,207
"35";"CMG129_CA1_TA1_TB3";"within";"3";"FI";"C_2";"3";34;121;0,28099173553719;"CMG129_CA1";1;3;1;1;0;0,298;0,281;0,215;0,207
"36";"CMG129_CA1_TA1_TB3";"within";"3";"FI";"C_4";"4";25;121;0,206611570247934;"CMG129_CA1";1;3;1;1;0;0,298;0,281;0,215;0,207
"37";"CMG129_CA1_TA1_TB3";"within";"3";"FS";"C_3";"1";1;7;0,142857142857143;"CMG129_CA1";1;3;1;1;0;0,429;0,286;0,143;0,143
"38";"CMG129_CA1_TA1_TB3";"within";"3";"FS";"C_4";"2";1;7;0,142857142857143;"CMG129_CA1";1;3;1;1;0;0,429;0,286;0,143;0,143
"39";"CMG129_CA1_TA1_TB3";"within";"3";"FS";"C_2";"3";2;7;0,285714285714286;"CMG129_CA1";1;3;1;1;0;0,429;0,286;0,143;0,143
"40";"CMG129_CA1_TA1_TB3";"within";"3";"FS";"C_1";"4";3;7;0,428571428571429;"CMG129_CA1";1;3;1;1;0;0,429;0,286;0,143;0,143
"41";"CMG129_CA1_TA1_TB4";"across";"3";"FI";"C_1";"1";32;121;0,264462809917355;"CMG129_CA1";1;4;1;2;0;0,264;0,264;0,256;0,215
"42";"CMG129_CA1_TA1_TB4";"across";"3";"FI";"C_4";"2";26;121;0,214876033057851;"CMG129_CA1";1;4;1;2;0;0,264;0,264;0,256;0,215
"43";"CMG129_CA1_TA1_TB4";"across";"3";"FI";"C_2";"3";32;121;0,264462809917355;"CMG129_CA1";1;4;1;2;0;0,264;0,264;0,256;0,215
"44";"CMG129_CA1_TA1_TB4";"across";"3";"FI";"C_3";"4";31;121;0,256198347107438;"CMG129_CA1";1;4;1;2;0;0,264;0,264;0,256;0,215
"45";"CMG129_CA1_TA1_TB4";"across";"3";"FS";"C_3";"1";0;7;0;"CMG129_CA1";1;4;1;2;1;0,714;0,286;0;0
"46";"CMG129_CA1_TA1_TB4";"across";"3";"FS";"C_2";"2";2;7;0,285714285714286;"CMG129_CA1";1;4;1;2;1;0,714;0,286;0;0
"47";"CMG129_CA1_TA1_TB4";"across";"3";"FS";"C_4";"3";0;7;0;"CMG129_CA1";1;4;1;2;1;0,714;0,286;0;0
"48";"CMG129_CA1_TA1_TB4";"across";"3";"FS";"C_1";"4";5;7;0,714285714285714;"CMG129_CA1";1;4;1;2;1;0,714;0,286;0;0
"49";"CMG129_CA1_TA1_TB5";"within";"3";"FI";"C_4";"1";23;120;0,191666666666667;"CMG129_CA1";1;5;1;1;0;0,308;0,292;0,208;0,192
"50";"CMG129_CA1_TA1_TB5";"within";"3";"FI";"C_1";"2";37;120;0,308333333333333;"CMG129_CA1";1;5;1;1;0;0,308;0,292;0,208;0,192
"51";"CMG129_CA1_TA1_TB5";"within";"3";"FI";"C_2";"3";35;120;0,291666666666667;"CMG129_CA1";1;5;1;1;0;0,308;0,292;0,208;0,192
"52";"CMG129_CA1_TA1_TB5";"within";"3";"FI";"C_3";"4";25;120;0,208333333333333;"CMG129_CA1";1;5;1;1;0;0,308;0,292;0,208;0,192
