"";"Day";"Subject";"Dig";"N";"Perc"
"107";"Day 3";"CMG162";"Near";2;16,6666666666667
"108";"Day 3";"CMG162";"Far";0;0
"109";"Day 1";"CMG169";"Correct";3;75
"110";"Day 1";"CMG169";"Geo";0;0
"111";"Day 1";"CMG169";"Near";1;25
"112";"Day 1";"CMG169";"Far";0;0
"113";"Day 2";"CMG169";"Correct";4;66,6666666666667
"114";"Day 2";"CMG169";"Geo";2;33,3333333333333
"115";"Day 2";"CMG169";"Near";0;0
"116";"Day 2";"CMG169";"Far";0;0
"117";"Day 3";"CMG169";"Correct";7;63,6363636363636
"118";"Day 3";"CMG169";"Geo";0;0
"119";"Day 3";"CMG169";"Near";2;18,1818181818182
"120";"Day 3";"CMG169";"Far";2;18,1818181818182
"121";"Day 1";"HG1";"Correct";3;75
"122";"Day 1";"HG1";"Geo";1;25
"123";"Day 1";"HG1";"Near";0;0
"124";"Day 1";"HG1";"Far";0;0
"125";"Day 2";"HG1";"Correct";3;50
"126";"Day 2";"HG1";"Geo";2;33,3333333333333
"127";"Day 2";"HG1";"Near";0;0
"128";"Day 2";"HG1";"Far";1;16,6666666666667
"129";"Day 3";"HG1";"Correct";7;87,5
"130";"Day 3";"HG1";"Geo";1;12,5
"131";"Day 3";"HG1";"Near";0;0
"132";"Day 3";"HG1";"Far";0;0
"133";"Day 1";"JJ9";"Correct";0;0
"134";"Day 1";"JJ9";"Geo";1;25
"135";"Day 1";"JJ9";"Near";2;50
"136";"Day 1";"JJ9";"Far";1;25
"137";"Day 2";"JJ9";"Correct";6;50
"138";"Day 2";"JJ9";"Geo";2;16,6666666666667
"139";"Day 2";"JJ9";"Near";4;33,3333333333333
"140";"Day 2";"JJ9";"Far";0;0
"141";"Day 3";"JJ9";"Correct";8;66,6666666666667
"142";"Day 3";"JJ9";"Geo";3;25
"143";"Day 3";"JJ9";"Near";0;0
"144";"Day 3";"JJ9";"Far";1;8,33333333333333
"145";"Day 1";"K1";"Correct";1;25
"146";"Day 1";"K1";"Geo";2;50
"147";"Day 1";"K1";"Near";1;25
"148";"Day 1";"K1";"Far";0;0
"149";"Day 2";"K1";"Correct";6;50
"150";"Day 2";"K1";"Geo";4;33,3333333333333
"151";"Day 2";"K1";"Near";1;8,33333333333333
"152";"Day 2";"K1";"Far";1;8,33333333333333
"153";"Day 3";"K1";"Correct";7;63,6363636363636
"154";"Day 3";"K1";"Geo";1;9,09090909090909
"155";"Day 3";"K1";"Near";3;27,2727272727273
"156";"Day 3";"K1";"Far";0;0
"157";"Day 1";"MG1";"Correct";2;50
"158";"Day 1";"MG1";"Geo";2;50
"159";"Day 1";"MG1";"Near";0;0
"160";"Day 1";"MG1";"Far";0;0
"161";"Day 2";"MG1";"Correct";8;66,6666666666667
"162";"Day 2";"MG1";"Geo";3;25
"163";"Day 2";"MG1";"Near";0;0
"164";"Day 2";"MG1";"Far";1;8,33333333333333
"165";"Day 3";"MG1";"Correct";7;58,3333333333333
"166";"Day 3";"MG1";"Geo";4;33,3333333333333
"167";"Day 3";"MG1";"Near";1;8,33333333333333
"168";"Day 3";"MG1";"Far";0;0
