"";"Subject";"Day";"Context";"Rate"
"1";"AK42_CA1_d7_TT2_02.t";"Day 1";"Within";0,227230811
"2";"AK42_CA1_d7_TT2_03.t";"Day 1";"Within";0,040877317
"3";"AK42_CA1_d7_TT2_04.t";"Day 1";"Within";0,093860472
"4";"AK42_CA1_d7_TT2_05.t";"Day 1";"Within";0,260589788
"5";"AK42_CA1_d7_TT4_03.t";"Day 1";"Within";0,12323631
"6";"AK42_CA1_d7_TT4_04.t";"Day 1";"Within";0,112143021
"7";"AK42_CA1_d7_TT5_01.t";"Day 1";"Within";0,086994319
"8";"AK42_CA1_d7_TT5_02.t";"Day 1";"Within";0,088358827
"9";"AK42_CA1_d7_TT5_03.t";"Day 1";"Within";0,203120274
"10";"AK42_CA1_d7_TT5_04.t";"Day 1";"Within";0,177901835
"11";"AK42_CA1_d7_TT5_05.t";"Day 1";"Within";0,282843308
"12";"AK74_CA1_d1_TT4_02.t";"Day 1";"Within";0,076591261
"13";"AK74_CA1_d1_TT4_06.t";"Day 1";"Within";0,142658973
"14";"JJ9_CA1_d1_TT2_06.t";"Day 1";"Within";0,016937546
"15";"JJ9_CA1_d1_TT5_02.t";"Day 1";"Within";0,056273505
"16";"JJ9_CA1_d1_TT5_03.t";"Day 1";"Within";0,359316555
"17";"JJ9_CA1_d1_TT5_04.t";"Day 1";"Within";0,388758091
"18";"JJ9_CA1_d1_TT5_05.t";"Day 1";"Within";0,125771423
"19";"JJ9_CA1_d1_TT5_06.t";"Day 1";"Within";0,12226356
"20";"MG1_d6_TT3_1.t";"Day 1";"Within";0,09300762
"21";"MG1_d6_TT3_10.t";"Day 1";"Within";0,03912348
"22";"MG1_d6_TT3_11.t";"Day 1";"Within";0,087453131
"23";"MG1_d6_TT3_13.t";"Day 1";"Within";0,049961438
"24";"MG1_d6_TT3_2.t";"Day 1";"Within";0,259554927
"25";"MG1_d6_TT3_3.t";"Day 1";"Within";0,094229565
"26";"MG1_d6_TT3_4.t";"Day 1";"Within";0,075171443
"27";"MG1_d6_TT3_5.t";"Day 1";"Within";0,267368564
"28";"MG1_d6_TT3_6.t";"Day 1";"Within";0,268583539
"29";"MG1_d6_TT3_7.t";"Day 1";"Within";0,303270079
"30";"MG1_d6_TT3_8.t";"Day 1";"Within";0,791061089
"31";"MG1_d6_TT3_9.t";"Day 1";"Within";0,174419893
"32";"AK74_CA1_d1_TT4_05.t";"Day 1";"Within";0,069770616
"33";"MG1_d6_TT3_12.t";"Day 1";"Within";0,086707701
"34";"AK42_CA1_d8_TT2_03.t";"Day 2";"Within";0,101564513
"35";"AK42_CA1_d8_TT2_04.t";"Day 2";"Within";0,085299453
"36";"AK42_CA1_d8_TT2_05.t";"Day 2";"Within";0,291367931
"37";"AK42_CA1_d8_TT5_01.t";"Day 2";"Within";0,114665234
"38";"AK42_CA1_d8_TT5_02.t";"Day 2";"Within";0,088082412
"39";"AK42_CA1_d8_TT5_03.t";"Day 2";"Within";0,139201879
"40";"AK42_CA1_d8_TT5_04.t";"Day 2";"Within";0,050464143
"41";"AK74_CA1_d2_TT4_02.t";"Day 2";"Within";0,134765368
"42";"AK74_CA1_d2_TT4_06.t";"Day 2";"Within";0,10971541
"43";"JJ9_CA1_d2_TT2_01.t";"Day 2";"Within";0,387360383
