"";"Subject";"CellType";"PredictionType";"Day";"Accuracy"
"75";"JJ9_CA1";"FS Cells";"Heading Prediction";"Day 2";NA
"76";"K1_CA1";"FS Cells";"Heading Prediction";"Day 2";NA
"77";"MG1";"FS Cells";"Heading Prediction";"Day 2";0,7
"78";"AK42_CA1";"FS Cells";"Heading Prediction";"Day 3";NA
"79";"AK74_CA1";"FS Cells";"Heading Prediction";"Day 3";NA
"80";"CMG159_recut";"FS Cells";"Heading Prediction";"Day 3";0,625
"81";"HGY1_recut";"FS Cells";"Heading Prediction";"Day 3";NA
"82";"JJ9_CA1";"FS Cells";"Heading Prediction";"Day 3";0,727272727
"83";"K1_CA1";"FS Cells";"Heading Prediction";"Day 3";NA
"84";"MG1";"FS Cells";"Heading Prediction";"Day 3";0,6
