"";"Subject";"Day";"Context";"Rate"
"1";"AK42_CA1_d7_TT2_02.t";"Day 1";"Within";42,49158156
"2";"AK42_CA1_d7_TT2_03.t";"Day 1";"Within";10,22205037
"3";"AK42_CA1_d7_TT2_04.t";"Day 1";"Within";12,64267934
"4";"AK42_CA1_d7_TT2_05.t";"Day 1";"Within";29,79329414
"5";"AK42_CA1_d7_TT4_03.t";"Day 1";"Within";20,94690831
"6";"AK42_CA1_d7_TT4_04.t";"Day 1";"Within";18,5911175
"7";"AK42_CA1_d7_TT5_01.t";"Day 1";"Within";53,62225133
"8";"AK42_CA1_d7_TT5_02.t";"Day 1";"Within";55,89860476
"9";"AK42_CA1_d7_TT5_03.t";"Day 1";"Within";48,49563995
"10";"AK42_CA1_d7_TT5_04.t";"Day 1";"Within";71,27327736
"11";"AK42_CA1_d7_TT5_05.t";"Day 1";"Within";35,39532675
"12";"AK74_CA1_d1_TT4_02.t";"Day 1";"Within";12,92844949
"13";"AK74_CA1_d1_TT4_06.t";"Day 1";"Within";20,03424258
"14";"CMG159_recut_s6_TT1_1.t";"Day 1";"Within";19,86334994
"15";"CMG159_recut_s6_TT1_2.t";"Day 1";"Within";10,43676565
"16";"CMG159_recut_s6_TT1_5.t";"Day 1";"Within";13,3271022
"17";"CMG159_recut_s6_TT1_6.t";"Day 1";"Within";16,38847261
"18";"CMG159_recut_s6_TT1_7.t";"Day 1";"Within";10,72028333
"19";"CMG159_recut_s6_TT2_3.t";"Day 1";"Within";39,23065262
"20";"CMG159_recut_s6_TT2_4.t";"Day 1";"Within";43,90182948
"21";"CMG159_recut_s6_TT2_5.t";"Day 1";"Within";22,00030454
"22";"CMG159_recut_s6_TT2_6.t";"Day 1";"Within";20,76783952
"23";"CMG159_recut_s6_TT2_7.t";"Day 1";"Within";18,12131382
"24";"CMG159_recut_s6_TT2_8.t";"Day 1";"Within";22,38894115
"25";"CMG159_recut_s6_TT4_2.t";"Day 1";"Within";44,91459187
"26";"CMG159_recut_s6_TT4_3.t";"Day 1";"Within";44,02042963
"27";"CMG159_recut_s6_TT4_4.t";"Day 1";"Within";17,57628658
"28";"CMG159_recut_s6_TT4_5.t";"Day 1";"Within";15,64899681
"29";"CMG159_recut_s6_TT4_6.t";"Day 1";"Within";34,5821202
"30";"CMG159_recut_s6_TT6_1.t";"Day 1";"Within";42,2082978
"31";"CMG159_recut_s6_TT6_2.t";"Day 1";"Within";66,6604569
"32";"CMG159_recut_s6_TT6_3.t";"Day 1";"Within";76,18663573
"33";"CMG159_recut_s6_TT6_4.t";"Day 1";"Within";31,20512041
"34";"CMG159_recut_s6_TT6_5.t";"Day 1";"Within";37,89107719
"35";"CMG159_recut_s6_TT6_6.t";"Day 1";"Within";11,6642916
"36";"CMG159_recut_s6_TT6_8.t";"Day 1";"Within";21,75943178
"37";"HGY1_recut_d1_TT2_1.t";"Day 1";"Within";43,92701519
"38";"HGY1_recut_d1_TT4_1.t";"Day 1";"Within";9,169222244
"39";"HGY1_recut_d1_TT4_2.t";"Day 1";"Within";46,54763129
"40";"HGY1_recut_d1_TT4_3.t";"Day 1";"Within";10,96057275
"41";"HGY1_recut_d1_TT4_4.t";"Day 1";"Within";1,970033793
"42";"HGY1_recut_d1_TT4_6.t";"Day 1";"Within";3,848315341
"43";"HGY1_recut_d1_TT5_1.t";"Day 1";"Within";18,66295236
"44";"HGY1_recut_d1_TT5_2.t";"Day 1";"Within";39,31934057
"45";"HGY1_recut_d1_TT5_3.t";"Day 1";"Within";18,27307514
"46";"HGY1_recut_d1_TT5_4.t";"Day 1";"Within";23,0117686
"47";"HGY1_recut_d1_TT5_5.t";"Day 1";"Within";16,67529495
"48";"HGY1_recut_d1_TT5_6.t";"Day 1";"Within";16,01813967
"49";"HGY1_recut_d1_TT5_7.t";"Day 1";"Within";6,295352482
"50";"JJ9_CA1_d1_TT2_02.t";"Day 1";"Within";5,637355637
"51";"JJ9_CA1_d1_TT2_06.t";"Day 1";"Within";12,47486503
"52";"JJ9_CA1_d1_TT5_01.t";"Day 1";"Within";38,37499739
"53";"JJ9_CA1_d1_TT5_02.t";"Day 1";"Within";4,773407839
"54";"JJ9_CA1_d1_TT5_03.t";"Day 1";"Within";49,76716711
"55";"JJ9_CA1_d1_TT5_04.t";"Day 1";"Within";45,51312433
"56";"JJ9_CA1_d1_TT5_05.t";"Day 1";"Within";29,31630358
"57";"JJ9_CA1_d1_TT5_06.t";"Day 1";"Within";63,26234451
"58";"K1_CA1_d1_TT1_1.t";"Day 1";"Within";22,54878822
"59";"K1_CA1_d1_TT2_1.t";"Day 1";"Within";13,41612216
"60";"K1_CA1_d1_TT2_2.t";"Day 1";"Within";62,47898972
"61";"K1_CA1_d1_TT2_3.t";"Day 1";"Within";16,3880107
"62";"K1_CA1_d1_TT3_1.t";"Day 1";"Within";11,71232694
"63";"K1_CA1_d1_TT3_2.t";"Day 1";"Within";52,63571443
"64";"K1_CA1_d1_TT3_4.t";"Day 1";"Within";21,64498289
"65";"MG1_d6_TT3_1.t";"Day 1";"Within";25,52192119
"66";"MG1_d6_TT3_10.t";"Day 1";"Within";17,72215614
"67";"MG1_d6_TT3_11.t";"Day 1";"Within";27,30584017
"68";"MG1_d6_TT3_13.t";"Day 1";"Within";14,31508898
"69";"MG1_d6_TT3_2.t";"Day 1";"Within";59,02567349
"70";"MG1_d6_TT3_3.t";"Day 1";"Within";47,06815896
"71";"MG1_d6_TT3_4.t";"Day 1";"Within";12,59363065
"72";"MG1_d6_TT3_5.t";"Day 1";"Within";74,59044893
"73";"MG1_d6_TT3_6.t";"Day 1";"Within";49,65173044
"74";"MG1_d6_TT3_7.t";"Day 1";"Within";29,94448062
"75";"MG1_d6_TT3_8.t";"Day 1";"Within";57,52137364
"76";"MG1_d6_TT3_9.t";"Day 1";"Within";47,76759324
"77";"AK74_CA1_d1_TT4_05.t";"Day 1";"Within";16,42645791
"78";"CMG159_recut_s6_TT1_4.t";"Day 1";"Within";19,85046475
"79";"CMG159_recut_s6_TT2_1.t";"Day 1";"Within";41,34275347
"80";"CMG159_recut_s6_TT2_2.t";"Day 1";"Within";35,2336965
"81";"CMG159_recut_s6_TT4_1.t";"Day 1";"Within";18,54186963
"82";"CMG159_recut_s6_TT6_7.t";"Day 1";"Within";23,96866703
"83";"HGY1_recut_d1_TT4_5.t";"Day 1";"Within";11,68486063
"84";"MG1_d6_TT3_12.t";"Day 1";"Within";21,19007129
"85";"AK42_CA1_d8_TT2_03.t";"Day 2";"Within";13,17401865
"86";"AK42_CA1_d8_TT2_04.t";"Day 2";"Within";50,12983256
"87";"AK42_CA1_d8_TT2_05.t";"Day 2";"Within";46,46592379
"88";"AK42_CA1_d8_TT5_01.t";"Day 2";"Within";19,27518017
"89";"AK42_CA1_d8_TT5_02.t";"Day 2";"Within";53,64815693
"90";"AK42_CA1_d8_TT5_03.t";"Day 2";"Within";19,51342094
"91";"AK42_CA1_d8_TT5_04.t";"Day 2";"Within";18,51982868
