animalName;sessionName;animalSessionCellName;avgWithinCorrelation;avgAcrossCorrelation;bestAlignedCorrelation;groupId;groupLabel;isCalciumData
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_1.t;0,341195418;0,250694251;0,469516296;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_10.t;0,444520474;0,514270399;0,779308792;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_100.t;0,327317287;0,278015487;0,676062452;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_101.t;0,351603965;0,33797453;0,712044083;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_102.t;0,47303352;0,482034729;0,789408166;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_103.t;0,255126975;0,379305449;0,519835794;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_104.t;0,372111961;0,407021137;0,674079163;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_106.t;0,255451609;0,370380341;0,665282437;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_107.t;0,36663949;0,402263548;0,711813886;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_108.t;0,423375713;0,376297836;0,605283838;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_111.t;0,368211714;0,36849427;0,609546641;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_112.t;0,319750266;0,351427531;0,455550343;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_113.t;0,314905716;0,2403451;0,382490291;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_114.t;0,318209847;0,357252667;0,494527541;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_115.t;0,37436125;0,364030546;0,56373179;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_116.t;0,511724898;0,527201828;0,70514355;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_117.t;0,392281121;0,413175441;0,732036618;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_118.t;0,38997016;0,367556058;0,454817011;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_119.t;0,466602015;0,395202546;0,362671706;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_12.t;0,367986719;0,300750898;0,413185706;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_121.t;0,473533685;0,498587916;0,80102408;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_122.t;0,397266591;0,408746008;0,463321743;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_123.t;0,282783764;0,294769411;0,623010483;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_124.t;0,269549873;0,340822871;0,310426986;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_125.t;0,487198978;0,544267671;0,886240234;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_126.t;0,384583303;0,42799824;0,389165842;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_128.t;0,280874289;0,306531478;0,464955927;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_129.t;0,300249699;0,289199031;0,517275842;1;Day 1;VERDADERO
CMG129_CA1;s1;CMG129_CA1_s1_CMG129_CA1_s1_13.t;0,350100654;0,389043958;0,820755956;1;Day 1;VERDADERO
