"";"Id";"Score";"Decile"
"175";"14";0,641022876;"2"
"176";"15";0,625497158;"2"
"177";"16";0,629293544;"2"
"178";"17";0,569795598;"2"
"179";"18";0,460113027;"2"
"180";"19";0,712115038;"2"
"181";"20";0,648232742;"2"
"182";"21";0,625497158;"2"
"183";"22";0,512106853;"2"
"184";"23";0,674640588;"2"
"185";"24";0,539957845;"2"
"186";"25";0,696819792;"2"
"187";"26";0,436636169;"2"
"188";"27";0,743486046;"2"
"189";"28";0,776269663;"2"
"190";"29";0,71108887;"2"
"191";"30";0,869643073;"2"
"192";"31";0,90845866;"2"
"193";"32";0,799362806;"2"
"194";"33";0,764558058;"2"
"195";"34";0,769964965;"2"
"196";"35";0,799828349;"2"
"197";"36";0,749427475;"2"
"198";"37";0,722426976;"2"
"199";"38";0,766976294;"2"
"200";"39";0,576706294;"2"
"201";"40";0,785673694;"2"
"202";"41";0,738671902;"2"
"203";"42";0,894771672;"2"
"204";"43";0,975810611;"2"
"205";"44";0,703172508;"2"
"206";"45";0,774167579;"2"
"207";"46";0,644562409;"2"
"208";"47";0,68623621;"2"
"209";"48";0,755067393;"2"
"210";"49";0,768932284;"2"
"211";"50";0,560023788;"2"
"212";"51";0,582085271;"2"
"213";"52";0,920516321;"2"
"214";"53";0,695132302;"2"
"215";"54";0,771599786;"2"
"216";"55";0,71108887;"2"
"217";"56";0,813491639;"2"
"218";"57";0,473896128;"2"
"219";"58";0,821937762;"2"
"220";"59";0,766976294;"2"
"221";"60";0,77531659;"2"
"222";"61";0,891944055;"2"
"223";"62";0,731205729;"2"
"224";"63";0,745574441;"2"
"225";"64";0,698649798;"2"
"226";"65";0,777759778;"2"
"227";"66";0,723867774;"2"
"228";"67";0,853100738;"2"
"229";"68";0,780418088;"2"
"230";"69";0,798744258;"2"
"231";"70";0,822700713;"2"
"232";"71";0,736990021;"2"
"233";"72";0,721126735;"2"
"234";"73";0,640150733;"2"
"235";"74";0,512968918;"2"
"236";"75";0,496979619;"2"
"237";"76";0,477829308;"2"
"238";"77";0,538578297;"2"
"239";"78";0,686640657;"2"
"240";"79";0,62399757;"2"
"241";"80";0,650990755;"2"
"242";"81";0,640150733;"2"
"243";"82";0,686640657;"2"
"244";"83";0,833209819;"2"
"245";"84";0,889341834;"2"
"246";"85";0,254138161;"2"
"247";"86";0,403721519;"2"
"248";"87";0,580707191;"2"
"249";"88";0,761113062;"2"
"250";"89";0,614455253;"2"
"251";"90";0,395347914;"2"
"252";"91";0,62148596;"2"
"253";"92";0,8846379;"2"
"254";"93";0,751521156;"2"
"255";"94";0,666634466;"2"
"256";"95";0,740810278;"2"
"257";"96";0,885726791;"2"
"258";"97";0,432811338;"2"
"259";"98";0,396839519;"2"
"260";"99";0,666634466;"2"
"261";"100";0,390634268;"2"
"262";"101";0,530162907;"2"
"263";"102";0,634645984;"2"
"264";"103";0,799447728;"2"
"265";"104";0,555809005;"2"
"266";"105";0,836160588;"2"
"267";"106";0,770407413;"2"
"268";"107";0,552490608;"2"
"269";"108";0,725852544;"2"
"270";"109";0,849400518;"2"
"271";"110";0,829264715;"2"
"272";"111";0,569494952;"2"
"273";"112";0,75120382;"2"
"274";"113";0,711886707;"2"
"275";"114";0,8742194;"2"
"276";"115";0,541117633;"2"
"277";"116";0,915160767;"2"
"278";"117";0,626040057;"2"
"279";"118";0,831818264;"2"
"280";"119";0,832343512;"2"
"281";"120";0,341892102;"2"
"282";"121";0,755021551;"2"
"283";"122";0,779936968;"2"
"284";"123";0,904467727;"2"
"285";"124";0,336024669;"2"
"286";"125";0,430855147;"2"
"287";"126";0,849304525;"2"
"288";"127";0,595397289;"2"
"289";"128";0,461776893;"2"
"290";"129";0,47580897;"2"
"291";"130";0,636879661;"2"
"292";"131";0,728693125;"2"
"293";"132";0,890938708;"2"
"294";"133";0,336024669;"2"
"295";"134";0,55170318;"2"
"296";"135";0,74684799;"2"
"297";"136";0,865659603;"2"
"298";"137";0,911866049;"2"
"299";"138";0,849304525;"2"
"300";"139";0,390100717;"2"
"301";"140";0,904988832;"2"
"302";"141";0,82019695;"2"
"303";"142";0,81701204;"2"
"304";"143";0,832343512;"2"
"305";"1";0,642377457;"3"
"306";"2";0,813769768;"3"
"307";"3";0,561314671;"3"
"308";"4";0,562369241;"3"
"309";"5";0,426254858;"3"
"310";"6";0,835675914;"3"
"311";"7";0,361452762;"3"
"312";"8";0,501982773;"3"
"313";"9";0,59917091;"3"
"314";"10";0,560057706;"3"
"315";"11";0,512106853;"3"
"316";"12";0,747147455;"3"
"317";"13";0,774526189;"3"
"318";"14";0,426254858;"3"
"319";"15";0,648232742;"3"
"320";"16";0,786398093;"3"
"321";"17";0,712115038;"3"
"322";"18";0,677229972;"3"
"323";"19";0,757379763;"3"
"324";"20";0,260284335;"3"
"325";"21";0,678728084;"3"
"326";"22";0,847203821;"3"
"327";"23";0,803111554;"3"
"328";"24";0,743773437;"3"
"329";"25";0,77531659;"3"
"330";"26";0,877609327;"3"
"331";"27";0,822700713;"3"
"332";"28";0,920516321;"3"
"333";"29";0,706338975;"3"
"334";"30";0,664173784;"3"
"335";"31";0,491796794;"3"
"336";"32";0,689567721;"3"
