"";"Subject";"Day";"Context";"Rate"
"1";"AK42_CA1_d7_TT2_02.t";"Day 1";"Within";42,49158156
"2";"AK42_CA1_d7_TT2_03.t";"Day 1";"Within";10,22205037
"3";"AK42_CA1_d7_TT2_04.t";"Day 1";"Within";12,64267934
"4";"AK42_CA1_d7_TT2_05.t";"Day 1";"Within";29,79329414
"5";"AK42_CA1_d7_TT4_03.t";"Day 1";"Within";20,94690831
"6";"AK42_CA1_d7_TT4_04.t";"Day 1";"Within";18,5911175
"7";"AK42_CA1_d7_TT5_01.t";"Day 1";"Within";53,62225133
"8";"AK42_CA1_d7_TT5_02.t";"Day 1";"Within";55,89860476
"9";"AK42_CA1_d7_TT5_03.t";"Day 1";"Within";48,49563995
"10";"AK42_CA1_d7_TT5_04.t";"Day 1";"Within";71,27327736
"11";"AK42_CA1_d7_TT5_05.t";"Day 1";"Within";35,39532675
"12";"AK42_CA1_d8_TT2_03.t";"Day 2";"Within";13,17401865
"13";"AK42_CA1_d8_TT2_04.t";"Day 2";"Within";50,12983256
"14";"AK42_CA1_d8_TT2_05.t";"Day 2";"Within";46,46592379
"15";"AK42_CA1_d8_TT5_01.t";"Day 2";"Within";19,27518017
"16";"AK42_CA1_d8_TT5_02.t";"Day 2";"Within";53,64815693
"17";"AK42_CA1_d8_TT5_03.t";"Day 2";"Within";19,51342094
"18";"AK42_CA1_d8_TT5_04.t";"Day 2";"Within";18,51982868
"19";"AK42_CA1_d9_TT2_01.t";"Day 3";"Within";53,83094827
"20";"AK42_CA1_d9_TT2_02.t";"Day 3";"Within";75,99090356
"21";"AK42_CA1_d9_TT2_03.t";"Day 3";"Within";13,69859407
"22";"AK42_CA1_d9_TT4_01.t";"Day 3";"Within";79,02097698
"23";"AK42_CA1_d9_TT4_02.t";"Day 3";"Within";24,6600747
"24";"AK42_CA1_d9_TT4_05.t";"Day 3";"Within";26,6119557
"25";"AK42_CA1_d9_TT5_01.t";"Day 3";"Within";24,58811927
"26";"AK42_CA1_d9_TT5_02.t";"Day 3";"Within";22,04476239
"27";"AK42_CA1_d9_TT5_03.t";"Day 3";"Within";16,49746985
"28";"AK42_CA1_d9_TT5_04.t";"Day 3";"Within";33,61605484
"29";"AK42_CA1_d9_TT5_05.t";"Day 3";"Within";20,27678272
"30";"AK74_CA1_d1_TT4_02.t";"Day 1";"Within";12,92844949
"31";"AK74_CA1_d1_TT4_06.t";"Day 1";"Within";20,03424258
"32";"AK74_CA1_d2_TT4_02.t";"Day 2";"Within";21,59733677
"33";"AK74_CA1_d2_TT4_06.t";"Day 2";"Within";14,53946597
"34";"AK74_CA1_d3_TT4_01.t";"Day 3";"Within";13,6097819
"35";"AK74_CA1_d3_TT4_02.t";"Day 3";"Within";39,6506174
"36";"AK74_CA1_d3_TT4_04.t";"Day 3";"Within";17,97713072
"37";"AK74_CA1_d3_TT4_07.t";"Day 3";"Within";27,2454216
"38";"AK74_CA1_d3_TT4_08.t";"Day 3";"Within";10,20391343
"39";"CMG159_recut_s6_TT1_1.t";"Day 1";"Within";17,25904056
"40";"CMG159_recut_s6_TT1_2.t";"Day 1";"Within";10,43676565
"41";"CMG159_recut_s6_TT1_5.t";"Day 1";"Within";13,28635316
"42";"CMG159_recut_s6_TT1_6.t";"Day 1";"Within";17,70299923
"43";"CMG159_recut_s6_TT1_7.t";"Day 1";"Within";11,13755273
"44";"CMG159_recut_s6_TT2_3.t";"Day 1";"Within";45,5365983
"45";"CMG159_recut_s6_TT2_4.t";"Day 1";"Within";46,33347903
"46";"CMG159_recut_s6_TT2_5.t";"Day 1";"Within";21,38904689
"47";"CMG159_recut_s6_TT2_6.t";"Day 1";"Within";21,10443508
"48";"CMG159_recut_s6_TT2_7.t";"Day 1";"Within";22,02766586
"49";"CMG159_recut_s6_TT2_8.t";"Day 1";"Within";15,87860042
"50";"CMG159_recut_s6_TT4_2.t";"Day 1";"Within";39,3563656
"51";"CMG159_recut_s6_TT4_3.t";"Day 1";"Within";38,90712898
"52";"CMG159_recut_s6_TT4_4.t";"Day 1";"Within";17,57628658
"53";"CMG159_recut_s6_TT4_5.t";"Day 1";"Within";15,29231069
"54";"CMG159_recut_s6_TT4_6.t";"Day 1";"Within";28,1189633
"55";"CMG159_recut_s6_TT6_1.t";"Day 1";"Within";39,44539428
"56";"CMG159_recut_s6_TT6_2.t";"Day 1";"Within";62,51759902
"57";"CMG159_recut_s6_TT6_3.t";"Day 1";"Within";68,47747329
"58";"CMG159_recut_s6_TT6_4.t";"Day 1";"Within";25,87548025
"59";"CMG159_recut_s6_TT6_5.t";"Day 1";"Within";33,96771277
"60";"CMG159_recut_s6_TT6_6.t";"Day 1";"Within";11,75401898
"61";"CMG159_recut_s6_TT6_8.t";"Day 1";"Within";17,37521263
"62";"CMG159_recut_s7_TT1_2.t";"Day 2";"Within";18,46472445
"63";"CMG159_recut_s7_TT1_3.t";"Day 2";"Within";35,5488022
"64";"CMG159_recut_s7_TT1_5.t";"Day 2";"Within";25,27775334
"65";"CMG159_recut_s7_TT1_6.t";"Day 2";"Within";31,88499603
"66";"CMG159_recut_s7_TT2_1.t";"Day 2";"Within";18,1284839
"67";"CMG159_recut_s7_TT2_10.t";"Day 2";"Within";11,84270729
"68";"CMG159_recut_s7_TT2_2.t";"Day 2";"Within";25,35914048
"69";"CMG159_recut_s7_TT2_4.t";"Day 2";"Within";11,88525316
"70";"CMG159_recut_s7_TT2_7.t";"Day 2";"Within";1,398316657
"71";"CMG159_recut_s7_TT2_9.t";"Day 2";"Within";19,57361444
"72";"CMG159_recut_s7_TT3_1.t";"Day 2";"Within";52,6682144
"73";"CMG159_recut_s7_TT3_3.t";"Day 2";"Within";24,22366486
"74";"CMG159_recut_s7_TT4_1.t";"Day 2";"Within";60,16767388
"75";"CMG159_recut_s7_TT4_2.t";"Day 2";"Within";28,00871296
"76";"CMG159_recut_s7_TT6_1.t";"Day 2";"Within";35,34418212
"77";"CMG159_recut_s7_TT6_3.t";"Day 2";"Within";17,3056246
"78";"CMG159_recut_s7_TT6_4.t";"Day 2";"Within";12,15794358
"79";"CMG159_recut_s8_TT1_2.t";"Day 3";"Within";22,29740563
"80";"CMG159_recut_s8_TT1_3.t";"Day 3";"Within";57,94085175
"81";"CMG159_recut_s8_TT1_4.t";"Day 3";"Within";52,26786899
"82";"CMG159_recut_s8_TT2_1.t";"Day 3";"Within";14,9018917
"83";"CMG159_recut_s8_TT2_2.t";"Day 3";"Within";11,18570021
"84";"CMG159_recut_s8_TT2_4.t";"Day 3";"Within";30,44919734
"85";"CMG159_recut_s8_TT2_5.t";"Day 3";"Within";13,08798687
"86";"CMG159_recut_s8_TT2_7.t";"Day 3";"Within";9,105364954
"87";"CMG159_recut_s8_TT2_8.t";"Day 3";"Within";56,31523507
"88";"CMG159_recut_s8_TT2_9.t";"Day 3";"Within";13,35605346
"89";"CMG159_recut_s8_TT4_1.t";"Day 3";"Within";50,97603638
